step,loss
50,0.07818848473252729
100,0.06481334278185386
150,0.06428854586207308
200,0.061955228085280395
250,0.06588530961074866
300,0.06794191041961312
350,0.07362199997995049
400,0.07259149102901574
450,0.07212475189589895
500,0.06465097028645687
550,0.06862538786081132
600,0.06783563819306437
650,0.06466737621405627
700,0.06791515380493365
750,0.06702254905132576
800,0.06385302282229531
850,0.06625317153171636
900,0.06643107330892235
950,0.06612188163911924
1000,0.068617850302835
1050,0.06451563240378164
1100,0.07086392278957647
1150,0.0633144835830899
1200,0.06879106662236154
1250,0.06977361141820439
1300,0.07142121067154221
1350,0.06728019785834477
1400,0.05828587270749267
1450,0.06686381215811707
1500,0.070221332203364
1550,0.06708378524053842
1600,0.0589035643695388
1650,0.06674634977942333
1700,0.06856040389509871
1750,0.0677725039771758
1800,0.06385497630690225
1850,0.06188349709729664
1900,0.06868450614216272
1950,0.06864581062516663
2000,0.0672611676750239
